Workers	temps_exec	Speedup	Pi	Relative_error	total_Points
6	197	4,82	3,1416502083	1,832024386568553E-3	96000000
6	192	4,99	3,1413208333	8,652307489616010E-3	96000000
6	192	5,01	3,1414473750	4,624361138204573E-3	96000000
6	202	4,71	3,1415827917	3,139147627973406E-4	96000000
6	189	5,05	3,1413697500	7,095241629701762E-3	96000000
6	196	4,87	3,1415425833	1,593785763486264E-3	96000000
6	186	5,11	3,1414408333	4,832588855413770E-3	96000000
6	187	5,11	3,1415717083	6,667082199842127E-4	96000000
7	196	5,66	3,1415741071	5,903517413310723E-4	112000000
7	195	5,71	3,1414716071	3,853028074718632E-3	112000000
7	203	5,46	3,1415536071	1,242887008000103E-3	112000000
7	193	5,75	3,1418450000	8,032435711184104E-3	112000000
7	206	5,40	3,1412057143	1,231666058413380E-2	112000000
7	193	5,76	3,1415633929	9,313980479537480E-4	112000000
7	202	5,50	3,1417486429	4,965292593598258E-3	112000000
7	195	5,71	3,1414746071	3,757535108864282E-3	112000000
7	203	5,48	3,1417413571	4,733381105094838E-3	112000000
7	199	5,58	3,1414661071	4,028098512115916E-3	112000000
8	208	6,15	3,1414570625	4,315998435965099E-3	128000000
8	206	6,19	3,1412919375	9,572090431563965E-3	128000000
8	208	6,20	3,1414730000	3,808692054854150E-3	128000000
8	205	6,33	3,1416411250	1,542892906613202E-3	128000000
8	205	6,20	3,1414516875	4,487089999780995E-3	128000000
8	206	6,20	3,1416114375	5,979104320019743E-4	128000000
8	203	6,27	3,1416820000	2,843984566384010E-3	128000000
8	201	6,33	3,1417943438	6,419997193984246E-3	128000000
8	209	6,09	3,1414006250	6,112459856102694E-3	128000000
8	204	6,25	3,1416955313	3,274697631127463E-3	128000000
9	207	6,91	3,1415494722	1,374505619677809E-3	144000000
9	211	6,77	3,1416578611	2,075619868909513E-3	144000000
9	212	6,75	3,1414413611	4,815789166971588E-3	144000000
9	210	6,82	3,1416797222	2,771480647873083E-3	144000000
9	208	6,88	3,1415529444	1,263981353642813E-3	144000000
9	209	6,84	3,1415819722	3,399984895772458E-4	144000000
9	207	6,91	3,1416822222	2,851058119416018E-3	144000000
9	209	6,85	3,1417688611	5,608859605548706E-3	144000000
9	210	6,80	3,1417631111	5,425831420988647E-3	144000000
9	211	6,77	3,1416847500	2,931519785089720E-3	144000000
10	214	7,45	3,1416876000	3,022238102652059E-3	160000000
10	212	7,51	3,1414199500	5,497326001059125E-3	160000000
10	212	7,49	3,1416868500	2,998364861192006E-3	160000000
10	213	7,47	3,1414948250	3,113980728253511E-3	160000000
10	212	7,49	3,1416624750	2,222484513613049E-3	160000000
10	212	7,49	3,1418387000	7,831900482891384E-3	160000000
10	213	7,45	3,1419100250	1,010224574609585E-2	160000000
10	213	7,48	3,1416435750	1,620878828720754E-3	160000000
10	213	7,46	3,1415670500	8,149875752969776E-4	160000000
10	212	7,48	3,1416271750	1,098850615385530E-3	160000000
11	214	8,19	3,1417776364	5,888184568797701E-3	176000000
11	218	8,00	3,1415138636	2,507962110859612E-3	176000000
11	215	8,14	3,1416623636	2,218939698966014E-3	176000000
11	214	8,16	3,1416021364	3,018460662687967E-4	176000000
11	215	8,11	3,1415192273	2,337232262805850E-3	176000000
11	216	8,08	3,1417127045	3,821340603282472E-3	176000000
11	216	8,09	3,1414455909	4,681150515616268E-3	176000000
11	215	8,11	3,1416957727	3,282384091450966E-3	176000000
11	214	8,16	3,1415208409	2,285868622080627E-3	176000000
11	215	8,12	3,1416282045	1,131622065035144E-3	176000000
12	224	8,49	3,1414451667	4,694654571395649E-3	192000000
12	266	7,17	3,1415550000	1,198550988149757E-3	192000000
12	224	8,53	3,1415142917	2,494337483150094E-3	192000000
12	224	8,49	3,1415091667	2,657471299817352E-3	192000000
12	233	8,25	3,1417602292	5,334096280179459E-3	192000000
12	223	8,57	3,1415564583	1,152130796404598E-3	192000000
12	222	8,56	3,1415485000	1,405452414169869E-3	192000000
12	223	8,57	3,1415268125	2,095786979826742E-3	192000000
12	222	8,59	3,1415052917	2,780816380713142E-3	192000000
12	231	8,25	3,1416903333	3,109242804879309E-3	192000000
